Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
106 1066376 2837864 1088 0 0 1992552 108280 6% 3.73 2.29 15.20 0.21 78.56 4025550 2783 0 71447 218 0 05/10/22 22:59:17
107 1065092 2834276 1088 0 0 1992552 108280 6% 3.73 2.29 15.22 0.21 78.54 4194578 2918 0 72501 234 0 05/10/22 22:59:18
108 1065268 2829724 1088 0 0 1992552 108280 6% 3.74 2.30 15.23 0.21 78.52 3458288 2396 0 57630 194 0 05/10/22 22:59:19
109 1068896 2822312 1088 0 0 1992552 108280 6% 3.74 2.30 15.24 0.21 78.51 3085615 2093 0 29378 125 0 05/10/22 22:59:20
110 1077996 2810052 1088 0 0 1992552 108280 6% 3.74 2.30 15.24 0.21 78.50 4665344 3144 0 33470 153 0 05/10/22 22:59:21
111 1089232 2793632 1088 0 0 1992552 108280 6% 3.74 2.30 15.25 0.21 78.49 3707170 2579 0 67623 220 0 05/10/22 22:59:23
112 1110860 2767936 1088 0 0 1992552 108280 6% 3.75 2.30 15.26 0.21 78.47 3688146 2534 0 49397 188 0 05/10/22 22:59:24
113 1112556 2762336 1088 0 0 1992552 108280 6% 3.75 2.31 15.27 0.21 78.46 3177576 2208 0 53722 198 0 05/10/22 22:59:25
114 1126340 2744080 1088 0 0 1992552 108280 6% 3.76 2.31 15.28 0.21 78.45 3976379 2700 0 40847 158 0 05/10/22 22:59:26
115 1136912 2729016 1088 0 0 1992552 108280 6% 3.76 2.31 15.28 0.21 78.44 4178458 2897 0 68182 238 0 05/10/22 22:59:27
116 1144588 2716856 1088 0 0 1992552 108280 6% 3.76 2.31 15.29 0.21 78.42 4335793 3010 0 71796 249 0 05/10/22 22:59:28
117 1176024 2643688 1088 0 0 1992552 108280 6% 3.77 2.31 15.30 0.21 78.40 4305693 2997 0 76278 258 0 05/10/22 22:59:29
118 1174988 2635876 1088 0 0 1992552 108280 6% 3.77 2.32 15.31 0.21 78.38 2783915 1947 0 52170 176 0 05/10/22 22:59:30
119 1176280 2631876 1088 0 0 1992552 108280 6% 3.77 2.32 15.32 0.21 78.37 4771483 3255 0 52929 186 0 05/10/22 22:59:31
